# px1=20,220  px2=110,80  fps=30
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,16596,16600.0,15706,15710.1
1,16603,16607.4,15707,15712.0
2,16607,16613.7,15720,15710.2
3,16630,16618.1,15704,15705.2
4,16629,16620.0,15696,15698.6
5,16617,16619.0,15686,15692.4
6,16621,16615.4,15694,15688.6
7,16599,16609.6,15690,15688.4
8,16598,16602.5,15685,15691.7
9,16595,16595.0,15682,15697.7
10,16585,16588.2,15719,15704.4
11,16587,16583.1,15701,15709.7
12,16585,16580.4,15713,15712.0
13,16578,16580.4,15706,15710.5
14,16583,16583.1,15701,15705.8
15,16587,16588.2,15705,15699.3
16,16602,16595.0,15683,15693.0
17,16599,16602.5,15702,15688.9
18,16624,16609.6,15691,15688.2
19,16628,16615.4,15701,15691.2
20,16618,16619.0,15681,15697.0
21,16619,16620.0,15693,15703.6
22,16619,16618.1,15723,15709.2
23,16616,16613.7,15706,15711.9
24,16598,16607.4,15695,15710.9
25,16585,16600.0,15719,15706.5
26,16599,16592.6,15699,15700.1
27,16585,16586.3,15693,15693.6
28,16582,16581.9,15700,15689.2
29,16583,16580.0,15672,15688.1
30,16589,16581.0,15675,15690.7
31,16581,16584.6,15685,15696.2
32,16591,16590.4,15693,15702.9
33,16586,16597.5,15700,15708.7
34,16611,16605.0,15710,15711.8
35,16617,16611.8,15722,15711.2
36,16619,16616.9,15712,15707.1
37,16612,16619.6,15700,15700.8
38,16610,16619.6,15699,15694.3
39,16624,16616.9,15697,15689.5
40,16612,16611.8,15695,15688.0
41,16604,16605.0,15686,15690.3
42,16602,16597.5,15701,15695.5
43,16608,16590.4,15708,15702.2
44,16576,16584.6,15700,15708.2
45,16571,16581.0,15712,15711.6
46,16571,16580.0,15722,15711.4
47,16580,16581.9,15713,15707.7
48,16588,16586.3,15704,15701.6
49,16584,16592.6,15695,15694.9
50,16597,16600.0,15689,15689.9
51,16608,16607.4,15693,15688.0
52,16610,16613.7,15696,15689.8
53,16621,16618.1,15708,15694.8
54,16593,16620.0,15696,15701.4
55,16629,16619.0,15687,15707.6
56,16627,16615.4,15712,15711.4
57,16593,16609.6,15717,15711.6
58,16594,16602.5,15701,15708.3
59,16607,16595.0,15699,15702.3
60,16581,16588.2,15712,15695.6
61,16591,16583.1,15688,15690.3
62,16574,16580.4,15686,15688.0
63,16593,16580.4,15682,15689.5
64,16573,16583.1,15704,15694.2
65,16586,16588.2,15701,15700.7
66,16599,16595.0,15704,15707.0
67,16583,16602.5,15709,15711.1
68,16620,16609.6,15729,15711.8
69,16614,16615.4,15709,15708.8
70,16630,16619.0,15708,15703.0
71,16622,16620.0,15681,15696.4
72,16615,16618.1,15693,15690.8
73,16602,16613.7,15685,15688.1
74,16621,16607.4,15687,15689.1
75,16589,16600.0,15678,15693.5
76,16593,16592.6,15695,15699.9
77,16579,16586.3,15708,15706.4
78,16584,16581.9,15712,15710.8
79,16583,16580.0,15702,15711.9
80,16576,16581.0,15707,15709.3
81,16584,16584.6,15712,15703.8
82,16585,16590.4,15691,15697.1
83,16609,16597.5,15693,15691.3
84,16594,16605.0,15686,15688.2
85,16602,16611.8,15680,15688.8
86,16606,16616.9,15687,15692.9
87,16636,16619.6,15707,15699.2
88,16631,16619.6,15714,15705.7
89,16616,16616.9,15714,15710.5
90,16613,16611.8,15703,15712.0
91,16596,16605.0,15717,15709.7
92,16588,16597.5,15706,15704.5
93,16596,16590.4,15704,15697.8
94,16588,16584.6,15682,15691.8
95,16585,16581.0,15687,15688.4
96,16572,16580.0,15673,15688.6
97,16586,16581.9,15680,15692.3
98,16573,16586.3,15712,15698.4
99,16583,16592.6,15702,15705.1
