# px1=45,112  px2=80,200  fps=30
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,16499,16500.0,15807,15808.4
1,16508,16508.7,15815,15809.7
2,16514,16515.2,15798,15810.0
3,16521,16518.0,15807,15809.3
4,16515,16516.3,15809,15807.7
5,16512,16510.6,15815,15805.4
6,16508,16502.3,15803,15802.5
7,16487,16493.4,15791,15799.4
8,16488,16486.1,15807,15796.4
9,16483,16482.3,15793,15793.7
10,16487,16482.9,15780,15791.6
11,16485,16487.7,15794,15790.3
12,16503,16495.5,15788,15790.0
13,16507,16504.5,15793,15790.7
14,16519,16512.3,15783,15792.3
15,16522,16517.1,15782,15794.6
16,16497,16517.7,15793,15797.5
17,16507,16513.9,15808,15800.6
18,16512,16506.6,15794,15803.6
19,16505,16497.7,15798,15806.3
20,16489,16489.4,15806,15808.4
21,16485,16483.7,15816,15809.7
22,16487,16482.0,15813,15810.0
23,16490,16484.8,15813,15809.3
24,16486,16491.3,15802,15807.7
25,16496,16500.0,15809,15805.4
26,16507,16508.7,15821,15802.5
27,16509,16515.2,15791,15799.4
28,16524,16518.0,15808,15796.4
29,16520,16516.3,15800,15793.7
30,16522,16510.6,15791,15791.6
31,16491,16502.3,15786,15790.3
32,16501,16493.4,15778,15790.0
33,16486,16486.1,15793,15790.7
34,16480,16482.3,15798,15792.3
35,16488,16482.9,15813,15794.6
36,16493,16487.7,15793,15797.5
37,16491,16495.5,15794,15800.6
38,16512,16504.5,15799,15803.6
39,16512,16512.3,15812,15806.3
40,16511,16517.1,15806,15808.4
41,16503,16517.7,15801,15809.7
42,16509,16513.9,15813,15810.0
43,16516,16506.6,15809,15809.3
44,16500,16497.7,15809,15807.7
45,16498,16489.4,15813,15805.4
46,16486,16483.7,15794,15802.5
47,16489,16482.0,15802,15799.4
48,16495,16484.8,15796,15796.4
49,16507,16491.3,15791,15793.7
50,16513,16500.0,15793,15791.6
51,16505,16508.7,15781,15790.3
52,16514,16515.2,15801,15790.0
53,16524,16518.0,15796,15790.7
54,16497,16516.3,15798,15792.3
55,16515,16510.6,15790,15794.6
56,16497,16502.3,15797,15797.5
57,16507,16493.4,15792,15800.6
58,16483,16486.1,15815,15803.6
59,16479,16482.3,15803,15806.3
60,16484,16482.9,15798,15808.4
61,16489,16487.7,15800,15809.7
62,16503,16495.5,15810,15810.0
63,16523,16504.5,15812,15809.3
64,16523,16512.3,15797,15807.7
65,16516,16517.1,15808,15805.4
66,16532,16517.7,15789,15802.5
67,16522,16513.9,15804,15799.4
68,16519,16506.6,15802,15796.4
69,16498,16497.7,15789,15793.7
70,16479,16489.4,15793,15791.6
71,16482,16483.7,15806,15790.3
72,16477,16482.0,15793,15790.0
73,16472,16484.8,15788,15790.7
74,16493,16491.3,15799,15792.3
75,16512,16500.0,15794,15794.6
76,16500,16508.7,15801,15797.5
77,16519,16515.2,15805,15800.6
78,16512,16518.0,15813,15803.6
79,16517,16516.3,15812,15806.3
80,16521,16510.6,15813,15808.4
81,16505,16502.3,15827,15809.7
82,16495,16493.4,15808,15810.0
83,16487,16486.1,15821,15809.3
84,16483,16482.3,15812,15807.7
85,16492,16482.9,15801,15805.4
86,16474,16487.7,15805,15802.5
87,16497,16495.5,15795,15799.4
88,16511,16504.5,15801,15796.4
89,16504,16512.3,15798,15793.7
90,16516,16517.1,15780,15791.6
91,16521,16517.7,15790,15790.3
92,16508,16513.9,15794,15790.0
93,16511,16506.6,15786,15790.7
94,16501,16497.7,15800,15792.3
95,16484,16489.4,15798,15794.6
96,16484,16483.7,15816,15797.5
97,16467,16482.0,15806,15800.6
98,16482,16484.8,15803,15803.6
99,16507,16491.3,15806,15806.3
100,16518,16500.0,15805,15808.4
