# px1=30,200  px2=90,60  fps=30
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,16803,16800.0,16108,16112.6
1,16798,16806.2,16109,16114.2
2,16807,16812.0,16119,16115.0
3,16813,16817.1,16121,16114.7
4,16826,16821.1,16122,16113.6
5,16831,16823.8,16118,16111.6
6,16831,16825.0,16105,16108.9
7,16822,16824.6,16091,16105.6
8,16825,16822.6,16097,16102.0
9,16822,16819.3,16102,16098.2
10,16804,16814.7,16086,16094.6
11,16806,16809.2,16087,16091.2
12,16804,16803.1,16079,16088.5
13,16797,16796.9,16073,16086.5
14,16774,16790.8,16091,16085.3
15,16775,16785.3,16081,16085.0
16,16769,16780.7,16074,16085.7
17,16774,16777.4,16084,16087.3
18,16783,16775.4,16093,16089.7
19,16773,16775.0,16099,16092.7
20,16785,16776.2,16099,16096.2
21,16776,16778.9,16108,16099.9
22,16797,16782.9,16109,16103.7
23,16802,16788.0,16115,16107.2
24,16801,16793.8,16101,16110.2
25,16791,16800.0,16112,16112.6
26,16793,16806.2,16109,16114.2
27,16819,16812.0,16110,16115.0
28,16821,16817.1,16104,16114.7
29,16817,16821.1,16122,16113.6
30,16825,16823.8,16114,16111.6
31,16839,16825.0,16119,16108.9
32,16818,16824.6,16116,16105.6
33,16818,16822.6,16102,16102.0
34,16819,16819.3,16107,16098.2
35,16806,16814.7,16098,16094.6
36,16813,16809.2,16098,16091.2
37,16801,16803.1,16097,16088.5
38,16791,16796.9,16096,16086.5
39,16794,16790.8,16074,16085.3
40,16789,16785.3,16086,16085.0
41,16778,16780.7,16080,16085.7
42,16775,16777.4,16076,16087.3
43,16789,16775.4,16081,16089.7
44,16770,16775.0,16102,16092.7
45,16781,16776.2,16102,16096.2
46,16791,16778.9,16097,16099.9
47,16775,16782.9,16110,16103.7
48,16794,16788.0,16105,16107.2
49,16784,16793.8,16120,16110.2
50,16805,16800.0,16102,16112.6
51,16812,16806.2,16103,16114.2
52,16808,16812.0,16106,16115.0
53,16812,16817.1,16108,16114.7
54,16816,16821.1,16119,16113.6
55,16826,16823.8,16117,16111.6
56,16834,16825.0,16106,16108.9
57,16825,16824.6,16110,16105.6
58,16836,16822.6,16109,16102.0
59,16830,16819.3,16106,16098.2
