# px1=10,50  px2=50,180  fps=30
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,17189,17200.0,15415,15416.8
1,17232,17224.3,15423,15420.0
2,17228,17228.5,15412,15415.5
3,17209,17209.3,15404,15405.1
4,17165,17182.4,15387,15392.7
5,17154,17170.0,15393,15383.2
6,17189,17182.4,15374,15380.0
7,17216,17209.3,15404,15384.5
8,17224,17228.5,15405,15394.9
9,17227,17224.3,15405,15407.3
10,17191,17200.0,15412,15416.8
11,17173,17175.7,15401,15420.0
12,17176,17171.5,15413,15415.5
13,17194,17190.7,15402,15405.1
14,17242,17217.6,15379,15392.7
15,17223,17230.0,15389,15383.2
16,17237,17217.6,15372,15380.0
17,17205,17190.7,15377,15384.5
18,17182,17171.5,15396,15394.9
19,17194,17175.7,15422,15407.3
20,17195,17200.0,15440,15416.8
21,17215,17224.3,15417,15420.0
22,17243,17228.5,15410,15415.5
23,17204,17209.3,15406,15405.1
24,17186,17182.4,15396,15392.7
25,17164,17170.0,15385,15383.2
26,17187,17182.4,15392,15380.0
27,17212,17209.3,15374,15384.5
28,17229,17228.5,15390,15394.9
29,17235,17224.3,15394,15407.3
30,17204,17200.0,15408,15416.8
31,17186,17175.7,15426,15420.0
32,17173,17171.5,15420,15415.5
33,17188,17190.7,15410,15405.1
34,17217,17217.6,15399,15392.7
35,17230,17230.0,15363,15383.2
36,17214,17217.6,15392,15380.0
37,17202,17190.7,15385,15384.5
38,17170,17171.5,15392,15394.9
39,17181,17175.7,15412,15407.3
40,17192,17200.0,15422,15416.8
41,17234,17224.3,15412,15420.0
42,17227,17228.5,15419,15415.5
43,17215,17209.3,15402,15405.1
44,17178,17182.4,15389,15392.7
45,17173,17170.0,15387,15383.2
46,17182,17182.4,15369,15380.0
47,17201,17209.3,15390,15384.5
48,17219,17228.5,15397,15394.9
49,17221,17224.3,15402,15407.3
50,17200,17200.0,15430,15416.8
51,17178,17175.7,15418,15420.0
52,17160,17171.5,15420,15415.5
53,17200,17190.7,15410,15405.1
54,17227,17217.6,15397,15392.7
55,17220,17230.0,15383,15383.2
56,17222,17217.6,15386,15380.0
57,17187,17190.7,15384,15384.5
58,17174,17171.5,15405,15394.9
59,17184,17175.7,15412,15407.3
60,17203,17200.0,15409,15416.8
61,17215,17224.3,15419,15420.0
62,17237,17228.5,15419,15415.5
63,17214,17209.3,15393,15405.1
64,17171,17182.4,15402,15392.7
65,17170,17170.0,15373,15383.2
66,17189,17182.4,15382,15380.0
67,17233,17209.3,15395,15384.5
68,17231,17228.5,15394,15394.9
69,17226,17224.3,15406,15407.3
70,17188,17200.0,15424,15416.8
71,17178,17175.7,15398,15420.0
72,17166,17171.5,15409,15415.5
73,17199,17190.7,15405,15405.1
74,17230,17217.6,15380,15392.7
75,17221,17230.0,15392,15383.2
76,17212,17217.6,15372,15380.0
77,17187,17190.7,15378,15384.5
78,17176,17171.5,15404,15394.9
79,17163,17175.7,15405,15407.3
80,17200,17200.0,15417,15416.8
81,17231,17224.3,15421,15420.0
82,17224,17228.5,15407,15415.5
83,17195,17209.3,15402,15405.1
84,17182,17182.4,15400,15392.7
85,17167,17170.0,15402,15383.2
86,17182,17182.4,15376,15380.0
87,17212,17209.3,15377,15384.5
88,17230,17228.5,15378,15394.9
89,17230,17224.3,15408,15407.3
90,17202,17200.0,15418,15416.8
91,17166,17175.7,15413,15420.0
92,17184,17171.5,15419,15415.5
93,17186,17190.7,15408,15405.1
94,17221,17217.6,15408,15392.7
95,17239,17230.0,15386,15383.2
96,17214,17217.6,15394,15380.0
97,17190,17190.7,15378,15384.5
98,17162,17171.5,15388,15394.9
99,17173,17175.7,15413,15407.3
100,17207,17200.0,15426,15416.8
101,17225,17224.3,15427,15420.0
102,17247,17228.5,15423,15415.5
103,17222,17209.3,15393,15405.1
104,17176,17182.4,15387,15392.7
105,17149,17170.0,15384,15383.2
106,17194,17182.4,15376,15380.0
107,17211,17209.3,15378,15384.5
108,17225,17228.5,15397,15394.9
109,17215,17224.3,15417,15407.3
110,17185,17200.0,15419,15416.8
111,17172,17175.7,15432,15420.0
112,17178,17171.5,15399,15415.5
113,17171,17190.7,15397,15405.1
114,17214,17217.6,15391,15392.7
115,17230,17230.0,15389,15383.2
116,17207,17217.6,15366,15380.0
117,17193,17190.7,15382,15384.5
118,17171,17171.5,15390,15394.9
119,17174,17175.7,15419,15407.3
120,17187,17200.0,15407,15416.8
121,17229,17224.3,15433,15420.0
122,17227,17228.5,15405,15415.5
123,17193,17209.3,15407,15405.1
124,17172,17182.4,15410,15392.7
125,17189,17170.0,15385,15383.2
126,17186,17182.4,15379,15380.0
127,17218,17209.3,15384,15384.5
128,17229,17228.5,15406,15394.9
129,17229,17224.3,15424,15407.3
130,17187,17200.0,15412,15416.8
131,17168,17175.7,15427,15420.0
132,17168,17171.5,15420,15415.5
133,17181,17190.7,15404,15405.1
134,17236,17217.6,15406,15392.7
135,17215,17230.0,15386,15383.2
136,17224,17217.6,15376,15380.0
137,17182,17190.7,15390,15384.5
138,17172,17171.5,15399,15394.9
139,17174,17175.7,15426,15407.3
140,17193,17200.0,15413,15416.8
141,17228,17224.3,15426,15420.0
142,17218,17228.5,15426,15415.5
143,17198,17209.3,15405,15405.1
144,17180,17182.4,15387,15392.7
145,17179,17170.0,15364,15383.2
146,17177,17182.4,15373,15380.0
147,17216,17209.3,15397,15384.5
148,17235,17228.5,15406,15394.9
149,17206,17224.3,15409,15407.3
150,17189,17200.0,15414,15416.8
151,17178,17175.7,15421,15420.0
152,17182,17171.5,15400,15415.5
153,17184,17190.7,15393,15405.1
154,17205,17217.6,15401,15392.7
155,17231,17230.0,15396,15383.2
156,17227,17217.6,15381,15380.0
157,17183,17190.7,15392,15384.5
